Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Tyre_Radius,Speed_mps,Wheel_Omega,R_eff,Slip_Ratio,Traction_Health,Speed_Change,Throttle_Change,Hard_Braking,High_RPM,Full_Throttle,RPM_Danger,Inconsistent_Combo,Gear_Ratio,Expected_RPM,RPM_Deviation,RPM_Deviation_Ratio,Gear_Speed_Mismatch,RPM_per_Gear,Speed_per_Gear,RPM_Speed_Ratio,Throttle_RPM_Product,Throttle_Brake_Conflict,RPM_Hours,Brake_Usage,High_Speed_Miles,Stress_Score,Needs_Maintenance
2023-05-28 13:45:29.352,10447.0,193.0,5,0.0,1,0,car,0 days 00:00:12.145000,0 days 01:44:28.375000,686.4736111111112,720,53.611111111111114,1094.0072817350856,0.0490043457270961,-9.140707419302166e-10,0.95,-19.0,0.0,0,0,0,0,1,1.3,25090.0,14643.0,0.5836189716786122,0,2089.3995821200833,38.599992280001544,54.12953339829257,0.0,0,7.491666666666668,10,483.63333333333344,0.7666009360015404,1
2023-05-28 13:45:29.672,9814.0,183.0,5,0.0,1,0,car,0 days 00:00:12.465000,0 days 01:44:28.695000,702.7402777777778,720,50.833333333333336,1027.7196767443409,0.04946225554900663,-9.730281525554193e-10,0.95,-10.0,0.0,0,0,0,0,0,1.3,23790.0,13976.0,0.5874737284326409,0,1962.7996074400785,36.59999268000146,53.628415007495,0.0,0,7.655233333333335,11,483.63333333333344,0.5010086790308416,0
2023-05-28 13:45:29.832,9465.0,179.0,5,2.0,1,0,car,0 days 00:00:12.625000,0 days 01:44:28.855000,710.6958333333333,720,49.72222222222222,991.1724822075797,0.05016505508840783,-1.0089061360934507e-09,0.95,-4.0,2.0,0,0,0,0,0,1.3,23270.0,13805.0,0.59325311557399,0,1892.9996214000757,35.79999284000143,52.87709467666428,0.01893,0,7.812983333333335,12,483.63333333333344,0.4975688733697464,0
2023-05-28 13:45:30.112,9251.0,171.0,5,4.0,1,0,car,0 days 00:00:12.905000,0 days 01:44:29.135000,723.9958333333333,720,47.5,968.7624546119725,0.04903162764497721,-1.0322447521365986e-09,0.95,-8.0,2.0,0,0,0,0,0,1.3,22230.0,12979.0,0.5838506522454409,0,1850.199629960074,34.19999316000137,54.099414888307514,0.037004,0,7.967166666666668,13,483.63333333333344,0.49752900054948407,0
2023-05-28 13:45:30.432,8767.0,164.0,5,6.0,0,0,car,0 days 00:00:13.225000,0 days 01:44:29.455000,738.5736111111111,720,45.55555555555556,918.0780931340572,0.049620566972054955,-1.0892319392516347e-09,0.95,-7.0,2.0,0,0,0,0,0,1.3,21320.0,12553.0,0.5887898686403007,0,1753.39964932007,32.79999344000131,53.457316747211486,0.052602,0,8.113283333333335,13,483.63333333333344,0.24033961169790583,0
2023-05-28 13:45:30.632,8439.0,159.0,5,9.0,0,0,car,0 days 00:00:13.425000,0 days 01:44:29.655000,747.4069444444444,720,44.16666666666667,883.7300134548088,0.049977556430415,-1.1315671665283327e-09,0.95,-5.0,3.0,0,0,0,0,0,1.3,20670.0,12231.0,0.5917271407551172,0,1687.7996624400676,31.799993640001272,53.075471364305216,0.075951,0,8.253933333333336,13,483.63333333333344,0.2395790341290677,0
2023-05-28 13:45:30.872,8401.0,154.0,5,36.0,0,0,car,0 days 00:00:13.665000,0 days 01:44:29.895000,757.6736111111111,720,42.77777777777778,879.7506627602618,0.04862488832339776,-1.1366855658324726e-09,0.95,-5.0,27.0,0,0,0,0,0,1.3,20020.0,11619.0,0.5803696303406408,0,1680.1996639600673,30.799993840001232,54.551947697714624,0.302436,0,8.393950000000002,13,483.63333333333344,0.3061220159960925,0
2023-05-28 13:45:31.072,8344.0,152.0,5,39.0,0,0,car,0 days 00:00:13.865000,0 days 01:44:30.095000,766.1180555555555,720,42.22222222222222,873.7816367184411,0.048321251442717435,-1.1444505703425412e-09,0.95,-2.0,3.0,0,0,0,0,0,1.3,19760.0,11416.0,0.5777327934930298,0,1668.7996662400667,30.399993920001215,54.89473648095568,0.325416,0,8.533016666666668,13,483.63333333333344,0.3121864887966298,0
2023-05-28 13:45:31.472,8579.0,155.0,5,52.0,0,0,car,0 days 00:00:14.265000,0 days 01:44:30.495000,783.3402777777778,720,43.05555555555556,898.3907791715611,0.047925197481805695,-1.1131013478011374e-09,0.95,3.0,13.0,0,0,0,0,0,1.3,20150.0,11571.0,0.5742431761501616,0,1715.7996568400686,30.99999380000124,55.348386739687825,0.446108,0,8.676000000000002,13,483.63333333333344,0.35060489040844983,0
2023-05-28 13:45:31.752,8819.0,156.0,5,67.0,0,0,car,0 days 00:00:14.545000,0 days 01:44:30.775000,795.4736111111112,720,43.333333333333336,923.5235204002794,0.04692174300837491,-1.0828095503488834e-09,0.95,1.0,15.0,0,0,0,0,0,1.3,20280.0,11461.0,0.5651380670332772,0,1763.7996472400705,31.19999376000125,56.53205091966634,0.590873,0,8.822983333333335,13,483.63333333333344,0.3941492154588192,0
2023-05-28 13:45:31.952,8831.0,160.0,5,67.0,0,0,car,0 days 00:00:14.745000,0 days 01:44:30.975000,804.3625,720,44.44444444444444,924.7801574617155,0.04805947017545617,-1.0813380347644998e-09,0.95,4.0,0.0,0,0,0,0,0,1.3,20800.0,11969.0,0.5754326922800272,0,1766.1996467600707,31.99999360000128,55.19374965503906,0.591677,0,8.970166666666668,13,483.63333333333344,0.3944514317113377,0
