Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2023-05-28 13:45:35.032,10575.0,165.0,4,100.0,0,0,car,0 days 00:00:17.825000,0 days 01:44:34.055000,929.6713888888888
2023-05-28 13:45:35.232,11286.0,175.0,4,100.0,0,0,car,0 days 00:00:18.025000,0 days 01:44:34.255000,939.3936111111112
2023-05-28 13:45:35.512,11441.0,182.0,4,100.0,0,0,car,0 days 00:00:18.305000,0 days 01:44:34.535000,953.5491666666668
2023-05-28 13:45:35.792,10877.0,197.0,4,100.0,0,0,car,0 days 00:00:18.585000,0 days 01:44:34.815000,968.871388888889
2023-05-28 13:45:36.072,11903.0,206.0,5,100.0,0,0,car,0 days 00:00:18.865000,0 days 01:44:35.095000,984.8936111111112
2023-05-28 13:45:36.432,11464.0,215.0,5,100.0,0,0,car,0 days 00:00:19.225000,0 days 01:44:35.455000,1006.3936111111112
2023-05-28 13:45:36.632,11162.0,216.0,5,100.0,1,0,car,0 days 00:00:19.425000,0 days 01:44:35.655000,1018.3936111111112
2023-05-28 13:45:36.792,10372.0,193.0,5,0.0,1,0,car,0 days 00:00:19.585000,0 days 01:44:35.815000,1026.9713888888891
2023-05-28 13:45:36.992,9570.0,182.0,5,0.0,1,0,car,0 days 00:00:19.785000,0 days 01:44:36.015000,1037.0825000000002
2023-05-28 13:45:37.192,9313.0,153.0,5,0.0,1,0,car,0 days 00:00:19.985000,0 days 01:44:36.215000,1045.5825000000002
2023-05-28 13:45:37.512,9419.0,139.0,5,0.0,1,0,car,0 days 00:00:20.305000,0 days 01:44:36.535000,1057.9380555555558
2023-05-28 13:45:37.752,9906.0,111.0,4,0.0,1,0,car,0 days 00:00:20.545000,0 days 01:44:36.775000,1065.338055555556
2023-05-28 13:45:38.152,8309.0,102.0,2,0.0,1,0,car,0 days 00:00:20.945000,0 days 01:44:37.175000,1076.6713888888892
2023-05-28 13:45:38.432,7300.0,88.0,2,0.0,1,0,car,0 days 00:00:21.225000,0 days 01:44:37.455000,1083.5158333333336
2023-05-28 13:45:38.672,6827.0,83.0,2,0.0,1,0,car,0 days 00:00:21.465000,0 days 01:44:37.695000,1089.049166666667
2023-05-28 13:45:38.952,6722.0,78.0,2,0.0,1,0,car,0 days 00:00:21.745000,0 days 01:44:37.975000,1095.1158333333335
2023-05-28 13:45:39.192,6531.0,78.0,2,0.0,0,0,car,0 days 00:00:21.985000,0 days 01:44:38.215000,1100.3158333333336
2023-05-28 13:45:39.552,6061.0,73.0,2,3.0,0,0,car,0 days 00:00:22.345000,0 days 01:44:38.575000,1107.6158333333335
2023-05-28 13:45:39.752,6312.0,75.0,2,21.0,0,0,car,0 days 00:00:22.545000,0 days 01:44:38.775000,1111.7825000000005
2023-05-28 13:45:40.032,6731.0,77.0,2,29.0,0,0,car,0 days 00:00:22.825000,0 days 01:44:39.055000,1117.771388888889
2023-05-28 13:45:40.192,7369.0,81.0,2,41.0,0,0,car,0 days 00:00:22.985000,0 days 01:44:39.215000,1121.371388888889
2023-05-28 13:45:40.352,7434.0,84.0,2,44.0,0,0,car,0 days 00:00:23.145000,0 days 01:44:39.375000,1125.1047222222223
2023-05-28 13:45:40.712,8729.0,89.0,2,58.0,0,0,car,0 days 00:00:23.505000,0 days 01:44:39.735000,1134.0047222222224
2023-05-28 13:45:40.992,9709.0,107.0,2,69.0,0,0,car,0 days 00:00:23.785000,0 days 01:44:40.015000,1142.3269444444447
2023-05-28 13:45:41.272,10640.0,117.0,2,87.0,0,0,car,0 days 00:00:24.065000,0 days 01:44:40.295000,1151.4269444444449
